ID,ThemeName,KeyTextColor,KeyBackgroundColor,KeyboardBackground,KeyBorderStartColor,KeyBorderEndColor,PredictionBarStartColor,PredictionBarEndColor
KBB_01,KBB_01,0xFFFFFFFF,0xFF221300,0xFF040404,0xFFDD8319,0xFFDD8319,0xFFDD8319,0xFFDD8319
KBB_02,KBB_02,0xFFFFFFFF,0xFF230708,0xFF040404,0xFFD5151C,0xFFD5151C,0xFFD5151C,0xFFD5151C
KBB_03,KBB_03,0xFFFFFFFF,0xFF032117,0xFF040404,0xFF00C481,0xFF00C481,0xFF00C481,0xFF00C481
KBB_04,KBB_04,0xFFFFFFFF,0xFF2A2203,0xFF040404,0xFFFFCA00,0xFFFFCA00,0xFFFFCA00,0xFFFFCA00
KBB_05,KBB_05,0xFFFFFFFF,0xFF19122A,0xFF040404,0xFF9261FF,0xFF9261FF,0xFF9261FF,0xFF9261FF
KBB_06,KBB_06,0xFFFFFFFF,0xFF172304,0xFF040404,0xFF83D002,0xFF83D002,0xFF83D002,0xFF83D002
KBB_07,KBB_07,0xFFFFFFFF,0xFF292513,0xFF040404,0xFFFBDD6A,0xFFFBDD6A,0xFFFBDD6A,0xFFFBDD6A
KBB_08,KBB_08,0xFFFFFFFF,0xFF041629,0xFF040404,0xFF017FFA,0xFF017FFA,0xFF017FFA,0xFF017FFA
KBB_09,KBB_09,0xFFFFFFFF,0xFF2A0A03,0xFF040404,0xFFFF2F00,0xFFFF2F00,0xFFFF2F00,0xFFFF2F00
KBB_10,KBB_10,0xFFFFFFFF,0xFF240513,0xFF040404,0xFFD70A65,0xFFD70A65,0xFFD70A65,0xFFD70A65
KBB_11,KBB_11,0xFFFFFFFF,0xFF220107,0xFF040404,0xFFA92A3D,0xFFA92A3D,0xFFA92A3D,0xFFA92A3D
KBB_12,KBB_12,0xFFFFFFFF,0xFF220004,0xFF040404,0xFFFF6174,0xFFFF6174,0xFFFF6174,0xFFFF6174
KBB_13,KBB_13,0xFFFFFFFF,0xFF250900,0xFF040404,0xFFFF8761,0xFFFF8761,0xFFFF8761,0xFFFF8761
KBB_14,KBB_14,0xFFFFFFFF,0xFF262425,0xFF040404,0xFFACA1A2,0xFFACA1A2,0xFFACA1A2,0xFFACA1A2
KBB_15,KBB_15,0xFFFFFFFF,0xFF231F00,0xFF040404,0xFFDCC303,0xFFDCC303,0xFFDCC303,0xFFDCC303
KBB_16,KBB_16,0xFFFFFFFF,0xFF220200,0xFF040404,0xFFC27D79,0xFFC27D79,0xFFC27D79,0xFFC27D79
KBB_17,KBB_17,0xFFFFFFFF,0xFF281800,0xFF040404,0xFFFFC061,0xFFFFC061,0xFFFFC061,0xFFFFC061
KBB_18,KBB_18,0xFFFFFFFF,0xFF1F2400,0xFF040404,0xFFC7DA57,0xFFC7DA57,0xFFC7DA57,0xFFC7DA57
KBB_19,KBB_19,0xFFFFFFFF,0xFF0C2700,0xFF040404,0xFF81DA57,0xFF81DA57,0xFF81DA57,0xFF81DA57
KBB_20,KBB_20,0xFFFFFFFF,0xFF002212,0xFF040404,0xFF57DA9B,0xFF57DA9B,0xFF57DA9B,0xFF57DA9B
KBB_21,KBB_21,0xFFFFFFFF,0xFF002828,0xFF040404,0xFF57DADA,0xFF57DADA,0xFF57DADA,0xFF57DADA
KBB_22,KBB_22,0xFFFFFFFF,0xFF02012F,0xFF040404,0xFF5783DA,0xFF5783DA,0xFF5783DA,0xFF5783DA
KBB_23,KBB_23,0xFFFFFFFF,0xFF002325,0xFF040404,0xFF00AFB9,0xFF00AFB9,0xFF00AFB9,0xFF00AFB9
KBB_24,KBB_24,0xFFFFFFFF,0xFF170129,0xFF040404,0xFFA057DA,0xFFA057DA,0xFFA057DA,0xFFA057DA
