ID,ThemeName,KeyTextColor,KeyBackgroundColor,KeyboardBackgroundStartColor,KeyboardBackgroundEndColor,PredictionBarStartColor,PredictionBarEndColor
KBG_01,Bubblegum,0xFFFFFFFF,0xFFFFD6DA,0xFFBBD9FF,0xFFFFB5B6,0xFFFFD6DA,0xFFFFD6DA
KBG_02,Cupcake,0xFFFFFFFF,0xFF92D7F3,0xFFABE4FF,0xFFFAFFC9,0xFF92D7F3,0xFF92D7F3
KBG_03,Marshmallow,0xFFFFFFFF,0xFF9ADDBB,0xFF8CFFC8,0xFFFAFFC9,0xFF9ADDBB,0xFF9ADDBB
KBG_04,Peppermint,0xFFFFFFFF,0xFF83A320,0xFF83D002,0xFFFFD45A,0xFF83A320,0xFF83A320
KBG_05,Lollipop,0xFFFFFFFF,0xFFDCBAFF,0xFFFFA1C1,0xFFB582FF,0xFFDCBAFF,0xFFDCBAFF
KBG_06,Retrograde,0xFFFFFFFF,0xFF97E1F5,0xFF36CEDC,0xFF588DE3,0xFF97E1F5,0xFF97E1F5
KBG_07,Rad,0xFFFFFFFF,0xFF09A49B,0xFF3DFAD0,0xFF42C6F5,0xFF09A49B,0xFF09A49B
KBG_08,Honeycomb,0xFFFFFFFF,0xFF009C8B,0xFF32CCBC,0xFFA7DC35,0xFF009C8B,0xFF009C8B
KBG_09,Frosting,0xFFFFFFFF,0xFFA4D5FF,0xFF5ECBF8,0xFFB08AFF,0xFFA4D5FF,0xFFA4D5FF
KBG_10,Arcade,0xFFFFFFFF,0xFFF59EEF,0xFF4B0DA8,0xFFF498A7,0xFFF59EEF,0xFFF59EEF
KBG_11,Chroma,0xFFFFFFFF,0xFF7D6F0A,0xFFD7842B,0xFFCECE1B,0xFF7D6F0A,0xFF7D6F0A
KBG_12,Donut,0xFFFFFFFF,0xFFF3D38B,0xFFCAAA6C,0xFF596755,0xFFF3D38B,0xFFF3D38B
KBG_13,Flossy,0xFFFFFFFF,0xFF43A806,0xFF66D853,0xFFFCFF7B,0xFF43A806,0xFF43A806
KBG_14,Pudding,0xFFFFFFFF,0xFF83600D,0xFFF8D800,0xFFC06626,0xFF83600D,0xFF83600D
KBG_15,Tiramisu,0xFFFFFFFF,0xFF883E12,0xFFC31B37,0xFFFBA744,0xFF883E12,0xFF883E12
KBG_16,Flair,0xFFFFFFFF,0xFFD1586C,0xFF670362,0xFFA10103,0xFFD1586C,0xFFD1586C
KBG_17,Fudge,0xFFFFFFFF,0xFF7D726F,0xFF010101,0xFF625955,0xFF7D726F,0xFF7D726F
KBG_18,Chocolate,0xFFFFFFFF,0xFF9E736A,0xFF1C110F,0xFF824A3C,0xFF9E736A,0xFF9E736A
KBG_19,Polaroid,0xFFFFFFFF,0xFF2D7B78,0xFF03181B,0xFF074F4B,0xFF2D7B78,0xFF2D7B78
KBG_20,Synth,0xFFFFFFFF,0xFF5959C6,0xFF03181B,0xFF0000B2,0xFF5959C6,0xFF5959C6
KBG_21,Neon,0xFFFFFFFF,0xFF147956,0xFF000000,0xFF02573A,0xFF147956,0xFF147956
KBG_22,Cheesecake,0xFFFFFFFF,0xFFDD80A9,0xFF000000,0xFFAF1659,0xFFDD80A9,0xFFDD80A9
KBG_23,Atomic,0xFFFFFFFF,0xFFFFA692,0xFFD0272C,0xFFFA763F,0xFFFFA692,0xFFFFA692
KBG_24,Raspberry,0xFFFFFFFF,0xFFF68DA9,0xFFE23664,0xFF3A0F69,0xFFF68DA9,0xFFF68DA9
KBG_25,Disco,0xFFFFFFFF,0xFFFF9994,0xFF360940,0xFFF05F57,0xFFFF9994,0xFFFF9994
KBG_26,Caramel,0xFFFFFFFF,0xFFF7DA5B,0xFFFF4545,0xFFEDC700,0xFFF7DA5B,0xFFF7DA5B
KBG_27,Sugarplum,0xFFFFFFFF,0xFFEF94EB,0xFF8C1BAB,0xFFF761A1,0xFFEF94EB,0xFFEF94EB
KBG_28,Blackberry,0xFFFFFFFF,0xFF992463,0xFF010101,0xFF93004F,0xFF992463,0xFF992463
KBG_29,Cloudy ,0xFFFFFFFF,0xFFFB92AC,0xFFE64C42,0xFFEB4170,0xFFFB92AC,0xFFFB92AC
KBG_30,Blueberry,0xFFFFFFFF,0xFF8772C1,0xFF5E469B,0xFF271D4C,0xFF8772C1,0xFF8772C1
KBG_31,Olive,0xFFFFFFFF,0xFF81D8CC,0xFFFFAF4C,0xFF008B9C,0xFF81D8CC,0xFF81D8CC
