ID,ThemeName,KeyTextColor,KeyBackgroundColor,KeyboardBackgroundStartColor,KeyboardBackgroundEndColor,PredictionBarStartColor,PredictionBarEndColor
KBR_01,KBR_01,0xFFFFFFFF,0xFFFFA274,0xFFFEF78F,0xFFFFAAAD,0xFFFFA274,0xFFFFA274
KBR_02,KBR_02,0xFFFFFFFF,0xFF00D79B,0xFF77E7FD,0xFF5EFCBF,0xFF00D79B,0xFF00D79B
KBR_03,KBR_03,0xFFFFFFFF,0xFF6CDF7B,0xFFFDF791,0xFF5DFDC1,0xFF6CDF7B,0xFF6CDF7B
KBR_04,KBR_04,0xFFFFFFFF,0xFFED75B2,0xFFFBA2CA,0xFF9FB5FE,0xFFED75B2,0xFFED75B2
KBR_05,KBR_05,0xFFFFFFFF,0xFFF4798A,0xFFFE9B9C,0xFF9BFF78,0xFFF4798A,0xFFF4798A
KBR_06,KBR_06,0xFFFFFFFF,0xFF767676,0xFFFFFFFF,0xFF6A6A6A,0xFF767676,0xFF767676
KBR_07,KBR_07,0xFFFFFFFF,0xFFFF6D69,0xFFFFDD5C,0xFFFFA0AD,0xFFFF6D69,0xFFFF6D69
KBR_08,KBR_08,0xFFFFFFFF,0xFFECA1D0,0xFFFFF2AD,0xFFEAB1F8,0xFFECA1D0,0xFFECA1D0
KBR_09,KBR_09,0xFFFFFFFF,0xFFF897A8,0xFFF5AABF,0xFFF9D28D,0xFFF897A8,0xFFF897A8
KBR_10,KBR_10,0xFFFFFFFF,0xFFD5D7FF,0xFFA0BBFF,0xFFFE9ABE,0xFFD5D7FF,0xFFD5D7FF
KBR_11,KBR_11,0xFFFFFFFF,0xFF52C7F3,0xFFEDF9FF,0xFF62C7EB,0xFF52C7F3,0xFF52C7F3
KBR_12,KBR_12,0xFFFFFFFF,0xFFDCC303,0xFFFFFFFF,0xFFF5DD0B,0xFFDCC303,0xFFDCC303
KBR_13,KBR_13,0xFFFFFFFF,0xFF0086E0,0xFFEBF8FF,0xFF0196FD,0xFF0086E0,0xFF0086E0
KBR_14,KBR_14,0xFFFFFFFF,0xFFCF1D00,0xFFFFD2C5,0xFFED5955,0xFFCF1D00,0xFFCF1D00
KBR_15,KBR_15,0xFFFFFFFF,0xFF83C500,0xFF97EF03,0xFFFFCA00,0xFF83C500,0xFF83C500
KBR_16,KBR_16,0xFFFFFFFF,0xFF00CFBA,0xFFDFFFFB,0xFF3BCFC0,0xFF00CFBA,0xFF00CFBA
KBR_17,KBR_17,0xFFFFFFFF,0xFFA4D5FF,0xFFB08AFF,0xFF5ECBF8,0xFFA4D5FF,0xFFA4D5FF
KBR_18,KBR_18,0xFFFFFFFF,0xFF9118E4,0xFF43C0FF,0xFFB237F6,0xFF9118E4,0xFF9118E4
KBR_19,KBR_19,0xFFFFFFFF,0xFFF3C40E,0xFF986C0A,0xFFF95D52,0xFFF3C40E,0xFFF3C40E
KBR_20,KBR_20,0xFFFFFFFF,0xFFF59597,0xFFD85454,0xFF461142,0xFFF59597,0xFFF59597
KBR_21,KBR_21,0xFFFFFFFF,0xFFE46CAC,0xFF992463,0xFF020102,0xFFE46CAC,0xFFE46CAC
KBR_22,KBR_22,0xFFFFFFFF,0xFF007A84,0xFF6DE6A3,0xFF1C6CAB,0xFF007A84,0xFF007A84
KBR_23,KBR_23,0xFFFFFFFF,0xFFCB4100,0xFFFFC615,0xFFFF4E2C,0xFFCB4100,0xFFCB4100
KBR_24,KBR_24,0xFFFFFFFF,0xFF7CAD03,0xFF97FFDB,0xFFD0D530,0xFF7CAD03,0xFF7CAD03
KBR_25,KBR_25,0xFFFFFFFF,0xFF0576C4,0xFFABDCFF,0xFF0396FF,0xFF0576C4,0xFF0576C4
KBR_26,KBR_26,0xFFFFFFFF,0xFFC59EF4,0xFF8666C9,0xFFCA31F4,0xFFC59EF4,0xFFC59EF4
KBR_27,KBR_27,0xFFFFFFFF,0xFF43CD88,0xFF0CAE58,0xFF2B3F4B,0xFF43CD88,0xFF43CD88
KBR_28,KBR_28,0xFFFFFFFF,0xFFC5C5C5,0xFFB8B9BC,0xFF000000,0xFFC5C5C5,0xFFC5C5C5
KBR_29,KBR_29,0xFFFFFFFF,0xFF147956,0xFF33D396,0xFFFA3575,0xFF147956,0xFF147956
KBR_30,KBR_30,0xFFFFFFFF,0xFFB8337A,0xFF93004F,0xFF010101,0xFF992463,0xFF992463
KBR_31,KBR_31,0xFFFFFFFF,0xFFF187FF,0xFFCE53DC,0xFF480051,0xFFF187FF,0xFFF187FF
